"name"," Найменування"," Статус"," Введено знову"," Раніше опублікований у"," Альтернативні найменування"," Ключові слова"," Застосовність"," Коментарі щодо застосування"," Клас форми"," Клас функцій"," Клас застосування"," Примітки"," Форма"," Альтернативні форми"," Складові частини"," Замінює"," Застарілий з"," Замінений на"," Обмеження символу"," img"
" S00097"," круговий рух (двонаправлений та обмежений)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-04-05"," обертання, крутний момент"," напрям, сила, рух",," А00035, А00036"," стрілки, сегменти кола, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," круговий рух, обертання, крутний момент, обмежені в обох напрямках",,,,,,,," symb/image-20241221115333291.png"
" S00098"," коливальний рух"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-04-06",," напрям, сила, рух"," S00317, S01109"," А00035, А00036"," фігури"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221115341828.png"
" S00099"," поширення (спрямоване)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-05-01"," потік енергії, потік сигналів, потік інформації"," напрямок, потік","S00104, S00105, S01738, S01596, S01603, S01599; S01713, S01716, S01739, S01746, S00940, S00985; S00942, S01280, S01254, S01279, S01038, S01040; S00941, S01281, S00934, S01041, S01252, S01377; S01378, S01253, S01251",," стрілки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221115349320.png"
" S00100"," поширення, в обох напрямках, одночасно"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-05-02"," одночасна передача та прийом"," напрямок, потік"," S01803, S01126, S01039",," стрілки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," одночасна передача та прийом",,,,,,,," symb/image-20241221135950652.png"
" S00101"," поширення, в обох напрямках, різночасне"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-05-03"," почергова передача та прийом"," напрямок, потік"," S01547, S01603, S01629, S01628, S01635, S01713, S01716, S01031, S01030, S01129, S00497, S01131, S00897",," стрілки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," почергова передача та прийом",,,,,,,," symb/image-20241221140009630.png"
" S00102"," передача"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-05-04",," напрямок, потік","S01035, S01037, S01036, S01029, S01128, S01034"," А00038"," стрілки, крапки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," символ S01128 показує приклад випадку, коли точка може бути опущена",,,,,,,," symb/image-20241221140102155.png"
" S00103"," прийом"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-05-05",," напрямок, потік"," S01037, S01032, S01036, S01127, S01033"," А00039"," стрілки, крапки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," символ S01127 показує приклад випадку, коли точка може бути опущена",,,,,,,," symb/image-20241221140122563.png"
" S00104"," потік енергії від шин"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-05-06",," шина, напрямок, потік"," S00935",," стрілки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,," S00099",,,,," symb/image-20241221140139687.png"
" S00105"," потік енергії на шини"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-05-07",," шина, напрямок, потік"," S00343, S00936",," стрілки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,," S00099",,,,," symb/image-20241221140157672.png"
" S00106","потік енергії двоспрямований (на шини та від шин)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-05-08",," шина, напрямок, потік"," S00937",," стрілки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,," S00103",,,,,," symb/image-20241221140216967.png"
" S00107"," змінний струм"," Застарілий"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-02-04",," струм, рід струму та напруги, напруга"," S00070, S00071, S00072"," А00023, А00024, А00025, А00026"," фігури"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,," 15.09.2001"," S01403",," symb/image-20241221140232564.png"
" S00108"," сила (вище ніж)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-06-01",," залежність від кількості, кількісна залежність"," S00341, S00343, S00345, S00350",," символи"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," приведення в рух у разі, коли характеристична величина вище за задане значення. також ІСО/МЕК 646",,,,,,,," symb/image-20241221140250468.png"
" S00109"," сила (нижче ніж)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-06-02",," залежність від кількості, кількісна залежність"," S00340, S00345, S00347, S00344, S00346, S00351, S00349",," символи"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники","приведення в рух у разі, коли характеристична величина нижче за задане значення. Див. також ІСО/МЕК646",,,,,,,," symb/image-20241221140304124.png"
" S00110"," сила (вища або нижча ніж)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-06-03",," залежність від кількості, кількісна залежність",,," символи"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," приведення в рух у разі, коли характеристична величина або вище заданого високого значення або нижче заданого низького значення",,,,,,,," symb/image-20241221140319455.png"
" S00111"," сила (еквівалентно нулю)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-06-04",," залежність від кількості, кількісна залежність"," S00086, S00338",," символи"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," приведення в рух у разі, коли характеристична величина дорівнює нулю",,,,,,,," symb/image-20241221140516370.png"
" S00112","сила (приблизно еквівалентно нулю)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-06-05",," залежність від кількості, кількісна залежність"," S00350, S01832",," символи"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," приведення в рух у разі, коли характеристична величина приблизно дорівнює нулю",,,,,,,," symb/image-20241221140530182.png"
" S00113"," матеріал не вказано"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-07-01",," матеріал",," А00040"," прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140548351.png"
" S00114"," матеріал, твердий"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-07-02",," матеріал"," S00356, S00607, S01217, S01216"," А00040"," лінії, прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140600046.png"
" S00115"," матеріал,текучий"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-07-03",," матеріал"," S00408, S00793, S00792, S00795, S00794"," А00040"," сегменти кола, прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140617475.png"
" S00116","матеріал, газ"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-07-04",," матеріал"," S00199, S00198, S00266, S00745, S00790, S00773, S00781, S00780, S00693, S00772, S00770, S00769, S00791, S00771 S00784, S00775, S00783"," А00040"," точки, прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140633853.png"
" S00117"," матеріал, електретний"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-07-05",," матеріал"," S00603"," А00040"," рівносторонні трикутники, прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140652023.png"
" S00118"," матеріал, напівпровідний"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-07-06",," матеріал"," S00785"," А00040"," рівносторонні трикутники, лінії, прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140706622.png"
" S00119"," матеріал ізолюючий"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-07-07",," матеріал",," А00040"," лінії, прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140720188.png"
" S00120"," тепловий ефект"," стандарт"," 01.07.2001","МЕК 60617-2 (ред. 2.0) 02-08-01",," залежність, ефект, тепловий"," S00191, S00266, S00265, S00325, S00381",," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140733409.png"
" S00121"," електромагнітний ефект"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-08-02",," залежність, ефект, електромагнітний"," S00190",," півкола, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140748139.png"
" S00122"," магнітострикційний ефект"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-08-03",," залежність, ефект, магнітострикційний"," S00604, S00609, S00605",," стрілки, півкола"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,," S00094",,,,," symb/image-20241221140802026.png"
" S00123"," ефект чи залежність від магнітного поля"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-08-04",," залежність, ефект, магнітний"," S00688, S00689, S00690",," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140815558.png"
" S00124","затримка"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-08-05",," відстрочена дія, залежність, ефект"," S00341, S00337, S00343, S00353, S01655, S00604, S00607, S00608, S00609, S01266, S00605",," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140837596.png"
" S00125"," ефект напівпровідника"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-08-06",," залежність, ефект, напівпровідники"," S00194, S00326, S00382",," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140852163.png"
" S00126"," ефект зв'язку з відділенням ланцюга"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-08-07",," з'єднувачі, залежність, ефект"," S00384, S00383",," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140908172.png"
" S00127"," випромінювання, електромагнітне, неіонізуюче"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-09-01"," світло"," випромінювання","S00130, S00384, S01431, S00685, S01078, S00488, S00489, S00786, S00684, S00686, S01318, S01063, S01327, S00707 S00908, S00788, S00642, S00906, S00687, S01216, S01326"," А00041, А00042"," стрілки"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," наприклад, радіохвилі або видиме світло",,,,,,,," symb/image-20241221140929111.png"
" S00128"," випромінювання, когерентне, неіонізуюче"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-09-02"," світло"," випромінювання"," S00131, S01328, S01214, S01215, S01876"," А00041, А00042"," стрілки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," наприклад, когерентне світло",,,,,,,," symb/image-20241221140945788.png"
" S00129"," випромінювання, іонізуюче"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-09-03",," випромінювання"," S00790, S00901, S00789, S00781, S00786, S00785, S00907, S00791, S00787, S00782, S00784, S00788, S00905, S00783"," А00041, А00042, А00043"," стрілки"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221140957227.png"
" S00130","випромінювання, електромагнітне, неіонізуюче, двоспрямоване"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-09-04",," випромінювання"," S00131"," А00041"," стрілки"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," наприклад, випромінювання від радара або фотореле з дзеркальним відбивачем",,," S00127",,,,," symb/image-20241221141012660.png"
" S00131"," випромінювання когерентне, неіонізуюче, двоспрямоване"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-09-05",," випромінювання",," А00041"," стрілки"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,," S00128; S00130",,,,," symb/image-20241221141026691.png"
" S00132"," позитивний імпульс"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-10-01",," форма сигналу"," S01675, S01674, S01237, S01235, S00546, S01238, S01223, S01222, S01218, S01219, S01220, S00551, S01263, S00921 S01228, S00545"," А00044"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221141039305.png"
" S00133"," негативний імпульс"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-10-02",," форма сигналу","S01235"," А00044"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221141055236.png"
" S00134"," імпульс, змінний струм"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-10-03",," форма сигналу",," А00044"," фігури"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221141226434.png"
" S00135"," ступінчаста функція, позитивна"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-10-04",," форма сигналу"," S01257, S00792, S01038"," А00044"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221141242292.png"
" S00136"," ступінчаста функція, негативна"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-10-05",," форма сигналу",," А00044"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221141257709.png"
" S00137"," пилкоподібна хвиля"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-10-06",," форма сигналу"," S01227"," А00044"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221141311227.png"
" S00138"," друк, стрічкова"," стандарт"," 01.07.2001"," МЕК60617-2 (ред. 2.0) 02-11 -01"," стрічковий друк"," факсиміле, перфорація, друк"," S01031, S00942, S00495",," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221141323041.png"
" S00139"," перфострічка"," застарілий"," 01.07.2001","МЕК 60617-2 (ред. 2.0) 02-11 -02"," застосування перфострічки"," факсиміле, перфорація, друк"," S01035, S01037, S01036, S01034, S01128, S01034",," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,," 05.07.2002",,," symb/image-20241221141335449.png"
" S00140"," друк та перфорація однієї стрічки, одночасна"," застарілий"," 01.07.2001"," МЕК60617-2 (ред. 2.0) 02-11 -03",," факсиміле, перфорація, друк",,," точки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,," 05.07.2002",,," symb/image-20241221141350101.png"
" S00141"," друк, сторінка"," застарілий"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-11-04",," факсиміле, перфорація, друк"," S01032",," прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,," 05.07.2002",,," symb/image-20241221141406548.png"
" S00142"," клавіатура"," застарілий"," 01.07.2001"," МЕК60617-2 (ред. 2.0) 02-11 -05",," факсиміле, перфорація, друк"," S01031, S01035",," крапки"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,," 05.07.2002",,," symb/image-20241221141426144.png"
" S00143"," факсиміле"," стандарт"," 01.07.2001"," МЕК60617-2 (ред. 2.0) 02-11 -06",," факсиміле, перфорація, друк"," S01033",," прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221141437848.png"
" S00144"," зв'язок"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-01","механічний зв'язок, пневматичний зв'язок, гідравлічний зв'язок, функціональний зв'язок, радіозв'язок"," зв'язки, механічне керування, інше керування"," S00034, S00145, S00146, S00165, S00164, S00190, S00191, S00248, S00261, S00268, S00267, S00269, S00364"," А00045"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",," форма 1"," S00147",,,,,," symb/image-20241221141452211.png"
" S00145"," механічний зв'язок (сила чи рух)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-02"," механічний зв'язок, механічний зв'язок з індикацією напряму сили або руху"," зв'язки, механічне керування, інше керування"," S00294, S00295"," А00045"," стрілки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,," S00093;",,,,," symb/image-20241221141504851.png"
" S00146"," механічний зв'язок (обертання)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-03","механічний зв'язок, механічний зв'язок з індикацією напряму обертання"," зв'язки, механічне керування, інше керування",," А00045, А00046"," стрілки, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,," S00095; S00144",,,,," symb/image-20241221142014652.png"
" S00147"," зв'язок"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-04",," зв'язки, механічне керування, інше керування"," S00149, S00148, S01200, S00822, S01202"," А00045"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",," Форма 2"," S00144",,,,,," symb/image-20241221142031641.png"
" S00148"," відстрочена дія"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-05"," дія, відстрочена"," зв'язки, механічне керування, інше керування"," S00245, S00243, S00247"," А00047"," півкола, лінії"," функціональні елементи чи ознаки","принципові схеми",," форма 1"," S00149"," S00147",,,,," symb/image-20241221142050170.png"
" S00149"," відстрочена дія"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-06"," дія, відстрочена"," зв'язки, механічне керування, інше керування"," S00244, S00246, S00247"," А00047"," півкола, лінії"," функціональні елементи чи ознаки","принципові схеми",," Форма 2"," S00148"," S00147",,,,," symb/image-20241221142105916.png"
" S00150"," автоматичне повернення"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-07"," повернення, автоматичне"," зв'язки, механічне керування, інше керування"," S00267, S00294, S00295"," А00048"," рівносторонні трикутники"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142119804.png"
" S00151","фіксатор"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-08"," неавтоматичне повернення, пристрій утримання заданої позиції"," зв'язки, механічне керування, інше керування"," S00153, S00152, S00258, S00267, S00294, S01864",," лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142129083.png"
" S00152"," фіксатор, роз'єднаний"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-09",," зв'язки, механічне керування, інше керування",,," лінії"," функціональні елементи чи ознаки","принципові схеми",,,," S00151",,,,," symb/image-20241221142141867.png"
" S00153"," фіксатор, в зачепленні"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-10",," зв'язки, механічне керування, інше керування",,," лінії"," функціональні елементи чи ознаки","принципові схеми",,,," S00151",,,,," symb/image-20241221142154607.png"
" S00154"," механічне блокування"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-11"," механічне блокування, механічне блокування між двома пристроями"," зв'язки, механічне керування, інше керування",,," рівносторонні трикутники, лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142207182.png"
" S00155"," фіксуючий пристрій, роз'єднаний"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-12",," зв'язки, механічне керування, інше керування",,,"лінії, прямокутний трикутник"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142224742.png"
" S00156"," фіксуючий пристрій, у зачепленні"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-13",," зв'язки, механічне керування, інше керування",,,"лінії, прямокутний трикутник"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142243524.png"
" S00157"," блокуючий пристрій"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-14",," зв'язки, механічне керування, інше керування"," S00158",," лінії, прямокутники"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142257890.png"
" S00158"," фіксуючий пристрій, у зачепленні"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-15"," блокуючий пристрій у зачепленні, рух ліворуч заблокований"," зв'язки, механічне керування, інше керування"," S00292",," лінії, прямокутники"," функціональні елементи чи ознаки","принципові схеми",,,," S00157",,,,," symb/image-20241221142308679.png"
" S00159"," захоплення, механічна муфта"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-16",," зв'язки, механічне керування, інше керування"," S00160, S00161",," лінії"," X підключення","принципові схеми",,,,,,,,," symb/image-20241221142322136.png"
" S00160"," механічна муфта, роз'єднана"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-17",," зв'язки, механічне керування, інше керування",,," лінії"," X підключення","принципові схеми",,,," S00159",,,,," symb/image-20241221142336157.png"
" S00161","механічна муфта, в зачепленні"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-18",," зв'язки, механічне керування, інше керування"," S00162",," лінії"," X підключення","принципові схеми",,,," S00159",,,,," symb/image-20241221142349107.png"
" S00162"," односпрямований пристрій зв'язку для обертання"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-19"," вільне колесо"," зв'язки, механічне керування, інше керування",,," стрілки, лінії"," X підключення","принципові схеми"," пристрій показано у включеному положенні",,," S00095; S00096; S00161",,,,," symb/image-20241221142402646.png"
" S00163"," гальмо"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-20",," зв'язку, механічне управління, інше управління, гальма"," S00165, S00164",," трапеції"," R обмеження чи стабілізація","принципові схеми",,,,,,,,," symb/image-20241221142416928.png"
" S00164"," гальмо, у стані гальмування"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-21","електромотор з гальмом у стані гальмування"," гальма, зв'язки, механічне керування, інше керування",,," фігури"," R обмеження чи стабілізація","принципові схеми",,,," S00144; S00163; S00819",,,,," symb/image-20241221142430298.png"
" S00165"," гальмо, у відпущеному стані"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-22"," електромотор з гальмом у відпущеному стані"," гальма, зв'язки, механічне керування, інше керування",,," фігури"," R обмеження чи стабілізація","принципові схеми",,,," S00144; S00163; S00819",,,,," symb/image-20241221142445871.png"
" S00166"," зубчаста передача"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-12-23",," зв'язку, механічне управління, зубчасті передачі",,," кола, лінії"," X підключення","принципові схеми",,,,,,,,," symb/image-20241221142501701.png"
" S00167"," ручний виконавчий механізм, загальний символ"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-01",," виконавчі механізми"," S00168, S00253, S00273, S00292, S00294, S00295, S00948",," лінії"," функціональні елементи чи ознаки","принципові схеми, концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221142514208.png"
" S00168"," ручний виконавчий механізм (захищений)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-02"," ручний виконавчий механізм із захистом від ненавмисного спрацьовування"," виконавчі механізми"," S00477",," лінії"," функціональні елементи чи ознаки","принципові схеми",,,," S00066; S00167",,,,," symb/image-20241221142526730.png"
" S00169"," виконавчий механізм (приведений у дію тягою)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-03",," виконавчі механізми"," S00255",," лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142538248.png"
" S00170"," виконавчий механізм (наведений у дію обертанням)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-04",," виконавчі механізми"," S00256, S00268, S00269",," лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142550413.png"
" S00171","виконавчий механізм (приведений у дію штовханням)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-05",," виконавчі механізми"," S00254, S00268, S00269",," лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142603309.png"
" S00172"," виконавчий механізм (наведений у дію ефектом близькості)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-06",," виконавчі механізми"," S00359, S00361",," лінії, квадрати"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142616076.png"
" S00173"," виконавчий механізм (приведений у дію торкання)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-07",," виконавчі механізми"," S00358",," лінії, квадрати"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142628247.png"
" S00174"," виконавчий механізм, аварійний"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-08"," аварійний виконавчий механізм грибоподібного типу","виконавчі механізми, аварійні виконавчі механізми"," S00258, S01864",," сегменти кола, лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142641895.png"
" S00175"," виконавчий механізм (наведений у дію маховиком)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-09",," виконавчі механізми",,," кола, лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142653160.png"
" S00176"," виконавчий механізм (приведений у дію педаллю)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-10",," виконавчі механізми"," S01865",," лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142707313.png"
" S00177"," виконавчий механізм (наведений у дію важелем)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-11",," виконавчі механізми"," S00272",," кола, лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142721608.png"
" S00178"," виконавчий механізм (приведений у дію ручкою, що знімається)"," стандарт"," 01.07.2001","МЕК 60617-2 (ред. 2.0) 02-13-12",," виконавчі механізми",,," лінії, квадрати"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142733226.png"
" S00179"," виконавчий механізм (наведений у дію ключем)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-13",," виконавчі механізми"," S00480",," фігури"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142746122.png"
" S00180"," виконавчий механізм (наведений у дію кривошипом)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-14",," виконавчі механізми"," S00822, S01024",," лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142756586.png"
" S00181"," виконавчий механізм (приведений у дію роликом)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-15",," виконавчі механізми"," S00185",," кола, лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142809716.png"
" S00182"," виконавчий механізм (приведений у дію кулачком)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-16",," виконавчі механізми"," S00184, S00183, S00951"," А00049"," сегменти кола, лінії"," функціональні елементи чи ознаки","принципові схеми",,,,,,,,," symb/image-20241221142822320.png"
" S00183","виконавчий механізм (приведений у дію кулачком/кулачковим профілем)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-13-17",," виконавчі механізми"," S00185"," А00049"," фігури"," функціональні елементи чи ознаки","принципові схеми"," показаний приклад із кулачковим профілем",,," S00185",,,,," symb/image-20241221142832161.png"
